CatalogId,NoradId,Name
17296,17296,SL-14 R/B
17359,17359,COSMOS 1816
17360,17360,SL-8 R/B
17525,17525,COSMOS 1821
17526,17526,SL-8 R/B
17567,17567,SL-14 R/B
17582,17582,COSMOS 1827
17584,17584,COSMOS 1829
17585,17585,COSMOS 1830
17587,17587,COSMOS 1832
17588,17588,SL-14 R/B
17614,17614,COSMOS 1275 DEB
17615,17615,COSMOS 1275 DEB
17616,17616,COSMOS 1275 DEB
17618,17618,COSMOS 1275 DEB
17619,17619,COSMOS 1275 DEB
17620,17620,COSMOS 1275 DEB
17621,17621,COSMOS 1275 DEB
17623,17623,COSMOS 1275 DEB
17624,17624,COSMOS 1275 DEB
17625,17625,COSMOS 1275 DEB
17626,17626,COSMOS 1275 DEB
17627,17627,COSMOS 1275 DEB
17629,17629,COSMOS 1275 DEB
17631,17631,COSMOS 1275 DEB
17632,17632,COSMOS 1275 DEB
17633,17633,COSMOS 1275 DEB
17635,17635,COSMOS 1275 DEB
17637,17637,COSMOS 1275 DEB
17638,17638,COSMOS 1275 DEB
17639,17639,COSMOS 1275 DEB
17640,17640,COSMOS 1275 DEB
17641,17641,COSMOS 1275 DEB
17642,17642,COSMOS 1275 DEB
17666,17666,OPS 4682 DEB
17722,17722,OPS 4682 DEB
17755,17755,SL-3 DEB
17792,17792,COSMOS 1275 DEB
17844,17844,SL-14 DEB
17911,17911,COSMOS 1842
17912,17912,SL-14 R/B
18129,18129,COSMOS 1861
18130,18130,SL-8 R/B
18131,18131,SL-8 DEB
18152,18152,COSMOS 1862
18153,18153,SL-14 R/B
18160,18160,COSMOS 1864
18161,18161,SL-8 R/B
18214,18214,COSMOS 1869
18215,18215,SL-14 R/B
18268,18268,OPS 4682 DEB
18269,18269,OPS 4682 DEB
18270,18270,OPS 4682 DEB
18271,18271,OPS 4682 DEB
18275,18275,COSMOS 1275 DEB
18276,18276,SL-8 DEB
18282,18282,COSMOS 1691 DEB
18312,18312,METEOR 2-16
18313,18313,SL-14 R/B
18334,18334,COSMOS 1875
18335,18335,COSMOS 1876
18336,18336,COSMOS 1877
18337,18337,COSMOS 1878
